Date,Game 1,Game 2,Game 3,Series,Total Pins,Number Games
9/10/2018,110,110,110,330,330,3
9/17/2018,155,181,172,508,838,6
9/24/2018,201,214,181,596,1434,9
10/1/2018,163,171,169,503,1937,12
10/8/2018,205,179,204,588,2525,15
10/15/2018,171,191,201,563,3088,18
10/22/2018,157,167,149,473,3561,21
10/29/2018,183,174,128,485,4046,24
11/5/2018,178,186,153,517,4563,27
11/12/2018,181,159,192,532,5095,30
11/19/2018,186,159,156,501,5596,33
11/26/2018,178,197,137,512,6108,36
12/3/2018,173,178,126,477,6585,39
12/10/2018,139,163,231,533,7118,42
12/17/2018,185,168,163,516,7634,45
1/7/2019,166,255,160,581,8215,48
1/14/2019,188,180,191,559,8774,51
1/21/2019,171,194,205,570,9344,54
1/28/2019,151,193,193,537,9881,57
2/4/2019,182,205,223,610,10491,60
2/11/2019,190,200,225,615,11106,63
2/18/2019,152,203,192,547,11653,66
2/25/2019,188,185,181,554,12207,69
3/4/2019,171,195,172,538,12745,72
3/11/2019,180,177,147,504,13249,75
3/18/2019,191,192,232,615,13864,78
3/25/2019,192,165,246,603,14467,81
4/1/2019,203,213,222,638,15105,84
4/8/2019,149,193,180,522,15627,87
4/15/2019,143,158,207,508,16135,90
